model_key,dataset,qid,seed,strategy,origin,n_steps,normalized_origin,execution_id,budget,prompt_sha256
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,0,position_matched_random,0,3,0.0,e1d123cc095dfca39b70e73fd35da0b6ed719f9ab038abe6d9ee5f6abb536147,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,0,unc__perplexity__argmax__bt2,0,3,0.0,e1d123cc095dfca39b70e73fd35da0b6ed719f9ab038abe6d9ee5f6abb536147,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,1,position_matched_random,0,3,0.0,a7793e6891adb632832e9d47d62f60ff39fe13440f32cc6fa07afc09cbd29279,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,1,unc__perplexity__argmax__bt2,0,3,0.0,a7793e6891adb632832e9d47d62f60ff39fe13440f32cc6fa07afc09cbd29279,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,2,position_matched_random,0,3,0.0,aff167db4a290ba30b5a380f6d5c3e8d48c4e13475f6dbf3c9310d6cc257fee6,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,02940204087811ebbd67ac1f6bf848b6,2,unc__perplexity__argmax__bt2,0,3,0.0,aff167db4a290ba30b5a380f6d5c3e8d48c4e13475f6dbf3c9310d6cc257fee6,89,33ab711328c58bf566dffa07fbaedfa4e20e94ba4f7a630956422b2b52acd037
mistral12b,2wikimultihopqa,085a12820bde11eba7f7acde48001122,0,position_matched_random,2,8,0.2857142857142857,1472c849512d56dc451a7dad2c5bac57de95e5f661d2bbfbf48fa6789d38eef4,295,a4a3fc1555f2983e310cb0f43d3c85742c5cebd9e2df10b0d448870081041031
mistral12b,2wikimultihopqa,085a12820bde11eba7f7acde48001122,0,unc__perplexity__argmax__bt2,5,8,0.7142857142857143,f998fd2d378883bb0e34a795dc4ba89f9510bb8abd1c8f186d5eee5479cc33f4,295,288fba6f23852ac40a0ad2d64930c02631ef29af84ee7f4f981d595c55ed7463
mistral12b,2wikimultihopqa,085a12820bde11eba7f7acde48001122,1,position_matched_random,1,8,0.14285714285714285,c623a20c4c02c694b666196492b885e3302fab76dfefb956eccdf231eb6bc784,295,09603c937c3dcad677ee18359da3fec4d7b487dbd8e21c7d123d9b65bb0868bf
mistral12b,2wikimultihopqa,085a12820bde11eba7f7acde48001122,1,unc__perplexity__argmax__bt2,5,8,0.7142857142857143,e27da950533654e39ac777665a1f66b04b9512b861bb1056fff9ca67fbbbe920,295,288fba6f23852ac40a0ad2d64930c02631ef29af84ee7f4f981d595c55ed7463
mistral12b,2wikimultihopqa,085a12820bde11eba7f7acde48001122,2,position_matched_random,3,8,0.42857142857142855,6dcdcdf034290c8232c39aade164fd7047f02056f80ac17222d913a62397c412,295,76c1e02f7711c95fb700a5c539a562fc01404367acbbe4ed91e01cdfc00279ea
